ISI(msec),control,Mean,SEM,n,"Bic,Pic",Mean,SEM,n,"Bic,Pic,CGP",Mean,SEM,n
-50,,0.988,0.026,10,,0.996,0.029,9,,1.047,0.018,11
-30,,0.917,0.022,9,,0.957,0.034,5,,0.975,0.051,3
-20,,0.931,0.035,11,,0.951,0.016,7,,1.022,0.03,8
-10,,0.869,0.026,13,,0.94,0.022,8,,0.998,0.038,8
-5,,0.879,0.03,12,,0.944,0.02,7,,0.973,0.035,6
0,,0.916,0.024,33,,0.976,0.038,15,,1.104,0.026,28
5,,0.879,0.028,12,,0.957,0.032,7,,0.997,0.048,10
10,,0.897,0.028,11,,0.946,0.029,8,,1.063,0.044,9
20,,0.973,0.018,10,,1,0,8,,1.007,0.031,9
30,,0.982,0.044,8,,1.007,0.026,6,,1.054,0.031,3
50,,0.979,0.021,11,,1,0,10,,1.098,0.044,14
