-145.3,-1.332,-127.9,-0.586,-104.2,-0.417,-126.1,-0.46,-124.7,-0.261,-200,0,-200,0
-126.2,-1.142,-107.1,-0.486,-96.4,-0.381,-119.1,-0.433,-118.8,-0.248,-200,0,-200,0
-116.1,-1.039,-91.1,-0.4,-87.2,-0.338,-112.8,-0.409,-112.9,-0.235,-200,0,-200,0
-104,-0.915,-81.9,-0.349,-79.5,-0.3,-105.6,-0.38,-106.5,-0.221,58.3,0.23,71.3,0.24
-94.4,-0.818,-76.3,-0.318,-60,-0.21,-94.3,-0.334,49.4,0.29,66,0.25,82.6,0.273
-73,-0.607,-61.2,-0.25,25,0.32,-88.7,-0.31,56,0.32,73.8,0.27,88.8,0.287
-62.8,-0.512,-57.9,-0.23,30,0.35,-83.3,-0.287,62.9,0.336,83.3,0.3,93,0.301
-53,-0.424,15,0.27,38.3,0.43,-75,-0.25,68.1,0.369,89.5,0.325,97.8,0.307
-43.5,-0.342,20,0.3,46.3,0.49,-70,-0.228,77.4,0.42,98.8,0.345,106.8,0.342
-27.1,-0.208,28.7,0.37,54.3,0.55,25,0.29,83.5,0.445,107.4,0.38,118.9,0.384
40.3,0.315,34.8,0.43,61.2,0.61,31.1,0.34,88.3,0.471,115.6,0.41,124.1,0.402
58.8,0.476,44,0.52,66,0.649,36.7,0.38,97.8,0.524,123,0.43,,
82.9,0.703,53.6,0.61,74.4,0.728,43.4,0.425,104.4,0.561,,,,
107.4,0.95,59,0.66,87.1,0.852,49.5,0.47,110.2,0.593,,,,
117.5,1.054,64.7,0.715,94.5,0.917,60,0.56,121.4,0.64,,,,
138.3,1.263,70,0.76,103.8,1.003,61.4,0.551,127,0.67
,,78.3,0.832,,,68.8,0.63,,
,,83.5,0.888,,,75,0.667,,
,,90.3,0.963,,,80,0.712,,
,,101.2,1.085,,,86.8,0.773,,
,,106.8,1.14,,,93,0.829,,
,,115.4,1.22,,,101.7,0.903,,
,,122,1.29,,,110.5,0.99,,
,,126.1,1.33,,,,,,
